가입일자,사용자코드,연령대코드,성별,가입 수
'2018-01-15','회원-내국인','30대','F',8
'2018-01-15','회원-내국인','30대','M',26
'2018-01-15','회원-내국인','40대','F',7
'2018-01-15','회원-내국인','40대','M',16
'2018-01-15','회원-내국인','50대','F',2
'2018-01-15','회원-내국인','50대','M',14
'2018-01-15','회원-내국인','60대','M',1
'2018-01-15','회원-내국인','70대~','F',1
'2018-01-16','회원-내국인','~10대','F',3
'2018-01-16','회원-내국인','~10대','M',11
'2018-01-16','회원-내국인','20대','F',47
'2018-01-16','회원-내국인','20대','M',40
'2018-01-16','회원-내국인','30대','F',19
'2018-01-16','회원-내국인','30대','M',38
'2018-01-16','회원-내국인','40대','F',5
'2018-01-16','회원-내국인','40대','M',19
'2018-01-16','회원-내국인','50대','F',9
'2018-01-16','회원-내국인','50대','M',9
'2018-01-16','회원-내국인','60대','F',1
'2018-01-16','회원-내국인','60대','M',1
'2018-01-17','회원-내국인','~10대','F',6
'2018-01-17','회원-내국인','~10대','M',6
'2018-01-17','회원-내국인','20대','F',53
'2018-01-17','회원-내국인','20대','M',59
'2018-01-17','회원-내국인','30대','F',10
'2018-01-17','회원-내국인','30대','M',25
'2018-01-17','회원-내국인','40대','F',7
'2018-01-17','회원-내국인','40대','M',26
'2018-01-17','회원-내국인','50대','F',3
'2018-01-17','회원-내국인','50대','M',7
'2018-01-17','회원-내국인','60대','M',2
'2018-01-17','회원-내국인','70대~','M',1
'2018-01-18','회원-내국인','~10대','F',4
'2018-01-18','회원-내국인','~10대','M',5
'2018-01-18','회원-내국인','20대','F',37
'2018-01-18','회원-내국인','20대','M',51
'2018-01-18','회원-내국인','30대','F',8
'2018-01-18','회원-내국인','30대','M',21
'2018-01-18','회원-내국인','40대','F',11
'2018-01-18','회원-내국인','40대','M',22
'2018-01-18','회원-내국인','50대','F',7
'2018-01-18','회원-내국인','50대','M',10
'2018-01-18','회원-내국인','60대','M',2
'2018-01-18','회원-내국인','70대~','M',1
'2018-01-19','회원-내국인','~10대','F',7
'2018-01-19','회원-내국인','~10대','M',1
'2018-01-19','회원-내국인','20대','F',45
'2018-01-19','회원-내국인','20대','M',60
'2018-01-19','회원-내국인','30대','F',14
'2018-01-19','회원-내국인','30대','M',23
'2018-01-19','회원-내국인','40대','F',13
'2018-01-19','회원-내국인','40대','M',24
'2018-01-19','회원-내국인','50대','F',3
'2018-01-19','회원-내국인','50대','M',6
'2018-01-19','회원-내국인','60대','F',1
'2018-01-19','회원-내국인','60대','M',4
'2018-01-20','회원-내국인','~10대','F',5
'2018-01-20','회원-내국인','~10대','M',4
'2018-01-20','회원-내국인','20대','F',62
'2018-01-20','회원-내국인','20대','M',65
'2018-01-20','회원-내국인','30대','F',25
'2018-01-20','회원-내국인','30대','M',31
'2018-01-20','회원-내국인','40대','F',16
'2018-01-20','회원-내국인','40대','M',19
'2018-01-20','회원-내국인','50대','F',6
'2018-01-20','회원-내국인','50대','M',11
'2018-01-20','회원-내국인','60대','F',4
'2018-01-20','회원-내국인','60대','M',5
'2018-01-21','회원-내국인','~10대','F',9
'2018-01-21','회원-내국인','~10대','M',3
'2018-01-21','회원-내국인','20대','F',52
'2018-01-21','회원-내국인','20대','M',70
'2018-01-21','회원-내국인','30대','F',26
'2018-01-21','회원-내국인','30대','M',37
'2018-01-21','회원-내국인','40대','F',22
'2018-01-21','회원-내국인','40대','M',24
'2018-01-21','회원-내국인','50대','F',6
'2018-01-21','회원-내국인','50대','M',12
'2018-01-21','회원-내국인','60대','F',2
'2018-01-21','회원-내국인','60대','M',2
'2018-01-21','회원-내국인','70대~','M',1
'2018-01-22','회원-내국인','~10대','F',3
'2018-01-22','회원-내국인','~10대','M',1
'2018-01-22','회원-내국인','20대','F',33
'2018-01-22','회원-내국인','20대','M',28
'2018-01-22','회원-내국인','30대','F',19
'2018-01-22','회원-내국인','30대','M',24
'2018-01-22','회원-내국인','40대','F',7
'2018-01-22','회원-내국인','40대','M',16
'2018-01-22','회원-내국인','50대','F',4
'2018-01-22','회원-내국인','50대','M',8
'2018-01-22','회원-내국인','60대','M',3
'2018-01-23','회원-내국인','~10대','M',2
'2018-01-23','회원-내국인','20대','F',13
'2018-01-23','회원-내국인','20대','M',21
'2018-01-23','회원-내국인','30대','F',4
'2018-01-23','회원-내국인','30대','M',14
'2018-01-23','회원-내국인','40대','F',1
'2018-01-23','회원-내국인','40대','M',8
'2018-01-23','회원-내국인','50대','F',2
'2018-01-23','회원-내국인','50대','M',2
'2018-01-23','회원-내국인','60대','F',1
'2018-01-23','회원-내국인','60대','M',1
'2018-01-24','회원-내국인','20대','F',14
'2018-01-24','회원-내국인','20대','M',17
'2018-01-24','회원-내국인','30대','F',7
'2018-01-24','회원-내국인','30대','M',11
'2018-01-24','회원-내국인','40대','F',1
'2018-01-24','회원-내국인','40대','M',7
'2018-01-24','회원-내국인','50대','F',2
'2018-01-24','회원-내국인','50대','M',3
'2018-01-24','회원-내국인','60대','M',2
'2018-01-25','회원-내국인','~10대','F',1
'2018-01-25','회원-내국인','~10대','M',1
'2018-01-25','회원-내국인','20대','F',14
'2018-01-25','회원-내국인','20대','M',12
'2018-01-25','회원-내국인','30대','F',2
'2018-01-25','회원-내국인','30대','M',9
'2018-01-25','회원-내국인','40대','F',3
'2018-01-25','회원-내국인','40대','M',7
'2018-01-25','회원-내국인','50대','F',2
'2018-01-25','회원-내국인','50대','M',2
'2018-01-25','회원-내국인','60대','M',2
'2018-01-25','회원-내국인','70대~','M',1
'2018-01-26','회원-내국인','~10대','F',1
'2018-01-26','회원-내국인','~10대','M',1
'2018-01-26','회원-내국인','20대','F',7
'2018-01-26','회원-내국인','20대','M',12
'2018-01-26','회원-내국인','30대','F',2
'2018-01-26','회원-내국인','30대','M',7
'2018-01-26','회원-내국인','40대','F',1
'2018-01-26','회원-내국인','40대','M',6
'2018-01-26','회원-내국인','50대','F',1
'2018-01-26','회원-내국인','50대','M',3
'2018-01-26','회원-내국인','60대','F',1
'2018-01-27','회원-내국인','~10대','F',1
'2018-01-27','회원-내국인','~10대','M',2
'2018-01-27','회원-내국인','20대','F',20
'2018-01-27','회원-내국인','20대','M',19
'2018-01-27','회원-내국인','30대','F',10
'2018-01-27','회원-내국인','30대','M',14
'2018-01-27','회원-내국인','40대','F',4
'2018-01-27','회원-내국인','40대','M',17
'2018-01-27','회원-내국인','50대','F',3
'2018-01-27','회원-내국인','50대','M',3
'2018-01-27','회원-내국인','60대','F',1
'2018-01-27','회원-내국인','60대','M',4
'2018-01-27','회원-내국인','70대~','M',1
'2018-01-28','회원-내국인','~10대','F',3
'2018-01-28','회원-내국인','~10대','M',4
'2018-01-28','회원-내국인','20대','F',26
'2018-01-28','회원-내국인','20대','M',28
'2018-01-28','회원-내국인','30대','F',8
'2018-01-28','회원-내국인','30대','M',25
'2018-01-28','회원-내국인','40대','F',4
'2018-01-28','회원-내국인','40대','M',9
'2018-01-28','회원-내국인','50대','F',4
'2018-01-28','회원-내국인','50대','M',5
'2018-01-28','회원-내국인','60대','M',3
'2018-01-28','회원-내국인','70대~','F',1
'2018-01-29','회원-내국인','~10대','F',1
'2018-01-29','회원-내국인','~10대','M',1
'2018-01-29','회원-내국인','20대','F',15
'2018-01-29','회원-내국인','20대','M',23
'2018-01-29','회원-내국인','30대','F',7
'2018-01-29','회원-내국인','30대','M',13
'2018-01-29','회원-내국인','40대','F',5
'2018-01-29','회원-내국인','40대','M',8
'2018-01-29','회원-내국인','50대','F',5
'2018-01-29','회원-내국인','50대','M',6
'2018-01-29','회원-내국인','60대','F',1
'2018-01-29','회원-내국인','60대','M',1
'2018-01-30','회원-내국인','~10대','M',2
'2018-01-30','회원-내국인','20대','F',19
'2018-01-30','회원-내국인','20대','M',18
'2018-01-30','회원-내국인','30대','F',4
'2018-01-30','회원-내국인','30대','M',13
'2018-01-30','회원-내국인','40대','F',4
'2018-01-30','회원-내국인','40대','M',15
'2018-01-30','회원-내국인','50대','F',2
'2018-01-30','회원-내국인','50대','M',1
'2018-01-30','회원-내국인','60대','M',1
'2018-01-31','회원-내국인','~10대','F',2
'2018-01-31','회원-내국인','~10대','M',3
'2018-01-31','회원-내국인','20대','F',23
'2018-01-31','회원-내국인','20대','M',22
'2018-01-31','회원-내국인','30대','F',6
'2018-01-31','회원-내국인','30대','M',19
'2018-01-31','회원-내국인','40대','F',5
'2018-01-31','회원-내국인','40대','M',16
'2018-01-31','회원-내국인','50대','F',1
'2018-01-31','회원-내국인','50대','M',1
'2018-01-31','회원-내국인','60대','F',1
'2018-01-31','회원-내국인','60대','M',4
'2018-02-01','회원-내국인','~10대','F',1
'2018-02-01','회원-내국인','~10대','M',1
'2018-02-01','회원-내국인','20대','F',27
'2018-02-01','회원-내국인','20대','M',25
'2018-02-01','회원-내국인','30대','F',13
'2018-02-01','회원-내국인','30대','M',10
'2018-02-01','회원-내국인','40대','F',4
'2018-02-01','회원-내국인','40대','M',14
'2018-02-01','회원-내국인','50대','F',2
'2018-02-01','회원-내국인','50대','M',5
'2018-02-01','회원-내국인','60대','F',1
'2018-02-01','회원-내국인','70대~','F',1
'2018-02-02','회원-내국인','~10대','F',4
'2018-02-02','회원-내국인','~10대','M',4
'2018-02-02','회원-내국인','20대','F',33
'2018-02-02','회원-내국인','20대','M',39
'2018-02-02','회원-내국인','30대','F',10
'2018-02-02','회원-내국인','30대','M',19
